Codigo contable;Nombre cuenta;Saldo inicial;Movimiento debito;Movimiento credito;Saldo final;Corriente;No corriente
133710;Sistema General de Participaciones - Participación para agua potable y saneamiento básico;9.775.018.785,00;34.780.194.966,00;32.961.815.429,00;11.593.398.322,00;11.593.398.322,00;0
133712;Otras Transferencias;36.836.909.055,59;27.123.426.286,00;63.898.794.884,59;61.540.457,00;61.540.457,00;0
138400;OTRAS CUENTAS POR COBRAR;736.761.529.154,01;144.470.479.120,62;51.864.521.421,86;829.367.486.852,77;231.726.225.631,79;597.641.261.220,98
138408;Cuotas partes de pensiones;204.771.973.114,00;12.139.278.361,00;10.541.058.075,00;206.370.193.400,00;0;206.370.193.400,00
138410;Derechos cobrados por terceros;0;745.693.563,00;745.693.563,00;0;0;0
138412;Descuentos no autorizados;14.954.100,00;12.341,00;0;14.966.441,00;14.966.441,00;0
138414;Dividendos y participaciones por cobrar;378.246.891.308,00;0;0;378.246.891.308,00;0;378.246.891.308,00
138416;Enajenación de Activos;451.032.700,00;98.394.870,00;152.887.870,00;396.539.700,00;396.539.700,00;0
138418;Excedentes financieros;60.000.000.000,00;0;0;60.000.000.000,00;60.000.000.000,00;0
138421;Indemnizaciones;7.324.547.354,16;851.537.260,00;843.115.626,00;7.332.968.988,16;7.324.172.688,16;8.796.300,00
138426;Pago por cuenta de terceros;1.430.338.702,00;1.718.240.941,42;1.195.627.077,42;1.952.952.566,00;1.603.967.071,00;348.985.495,00
138432;Responsabilidades fiscales;23.163.866.166,04;0;1.077.352.371,00;22.086.513.795,04;22.059.013.795,04;27.500.000,00
138435;Otros intereses de mora;3.745.336.123,98;116.885.716,00;89.231,00;3.862.132.608,98;3.675.811.117,00;186.321.491,98
138436;Otros intereses por cobrar;18.079.732.969,00;15.907.958.521,86;1.528.165.806,00;32.459.525.684,86;32.459.525.684,86;0
138439;Arrendamiento operativo;160.744.411,00;528.774.465,44;607.583.107,72;81.935.768,72;81.935.768,72;0
138440;Rendimientos de recursos del Sistema General de Regalías;365.517.052,19;246.073.699,81;0;611.590.752,00;611.590.752,00;0
138490;Saldos - Otras cuentas por cobrar;39.006.595.153,64;112.117.629.381,09;35.172.948.694,72;115.951.275.840,01;103.498.702.614,01;12.452.573.226,00
138500;CUENTAS POR COBRAR DE DIFÍCIL RECAUDO;1.851.965.634.252,71;1.208.580.122.186,00;172.429.060.775,00;2.888.116.695.663,71;2.886.393.800.740,71;1.722.894.923,00
138502;Prestación de servicios;2.800.000,00;0;0;2.800.000,00;2.800.000,00;0
138514;Impuestos;1.233.159.796.548,78;977.213.169.900,00;151.413.852.980,00;2.058.959.113.468,78;2.058.959.113.468,78;0
138515;Contribuciones, tasas e ingresos no tributarios;602.582.404.617,89;230.621.015.878,00;20.781.975.983,00;812.421.444.512,89;811.382.632.320,89;1.038.812.192,00
138590;Otras cuentas por cobrar de difícil recaudo;16.220.633.086,04;745.936.408,00;233.231.812,00;16.733.337.682,04;16.049.254.951,04;684.082.731,00
138600;DETERIORO ACUMULADO DE CUENTAS POR COBRAR (CR);-2.205.792.119.482,81;11.229.156.932,10;658.827.908,60;-2.195.221.790.459,31;-2.079.009.734.141,88;-116.212.056.317,43
138613;Impuestos por cobrar;-1.223.679.981.333,00;8.914.579.482,00;0;-1.214.765.401.851,00;-1.214.765.401.851,00;0
138614;Contribuciones, tasas e ingresos no tributarios;-852.981.124.207,16;2.161.155.280,42;233.983.876,99;-851.053.952.803,73;-828.285.281.814,73;-22.768.670.989,00
138690;Otras cuentas por cobrar;-129.131.013.942,65;153.422.169,68;424.844.031,61;-129.402.435.804,58;-35.959.050.476,15;-93.443.385.328,43
140000;PRÉSTAMOS POR COBRAR;93.796.365.790,17;34.216.908,00;11.946.468,00;93.818.636.230,17;93.798.131.024,17;20.505.206,00
141500;PRÉSTAMOS CONCEDIDOS;92.751.298.819,17;31.420.997,00;8.202.535,00;92.774.517.281,17;92.754.287.964,17;20.229.317,00
141507;Préstamos educativos;92.717.465.042,17;2.552.505,00;0;92.720.017.547,17;92.720.017.547,17;0
141525;Créditos a empleados;33.833.777,00;28.868.492,00;8.202.535,00;54.499.734,00;34.270.417,00;20.229.317,00
147700;PRÉSTAMOS POR COBRAR DE DIFÍCIL RECAUDO;1.356.817.297,00;893;3.743.933,00;1.353.074.257,00;1.335.714.870,00;17.359.387,00
147701;Présramos concedidos;1.356.817.297,00;893;3.743.933,00;1.353.074.257,00;1.335.714.870,00;17.359.387,00
148000;DETERIORO ACUMULADO DE PRÉSTAMOS POR COBRAR (CR);-311.750.326,00;2.795.018,00;0;-308.955.308,00;-291.871.810,00;-17.083.498,00
148003;Préstamos concedidos;-311.750.326,00;2.795.018,00;0;-308.955.308,00;-291.871.810,00;-17.083.498,00
150000;INVENTARIOS;123.382.892.036,27;35.384.022.579,00;17.989.322.671,00;140.777.591.944,27;140.777.591.944,27;0
151000;MERCANCÍAS EN EXISTENCIA;47.140.810.785,49;25.662.783.891,00;17.629.798.021,00;55.173.796.655,49;55.173.796.655,49;0
151002;Terrenos;3.956.816.893,59;0;0;3.956.816.893,59;3.956.816.893,59;0
151003;Construcciones;28.941.071.944,90;27.544.536,00;0;28.968.616.480,90;28.968.616.480,90;0
151004;Impresos y publicaciones;29.248.404,00;350.420.054,00;349.888.999,00;29.779.459,00;29.779.459,00;0
151011;Combustibles y otros derivados del petróleo;0;1.214.471,00;1.214.471,00;0;0;0
151030;Equipos de comunicación y computación;11.360.971.311,00;11.898.973.540,00;11.604.415.683,00;11.655.529.168,00;11.655.529.168,00;0
151034;Elementos de protección y seguridad personal;211.631.264,00;22.101.089,00;58.392.410,00;175.339.943,00;175.339.943,00;0
151035;Repuestos, equipos férreos y otros;2.924.308,00;742.560,00;742.560,00;2.924.308,00;2.924.308,00;0
151036;Equipo de transporte;231.883.086,00;1.372.915.549,00;1.226.196.100,00;378.602.535,00;378.602.535,00;0
151037;Muebles y enseres;307.715.719,00;250.360.000,00;240.453.606,00;317.622.113,00;317.622.113,00;0
151039;Material didáctico;235.532.294,00;273.866.569,00;280.838.025,00;228.560.838,00;228.560.838,00;0
151041;Maquinaria y elementos de ferretería;266.719.961,00;613.971.384,00;525.934.703,00;354.756.642,00;354.756.642,00;0
151042;Productos agropecuarios, de silvicultura, avicultura y pesca;0;4.168.572,00;4.168.572,00;0;0;0
151061;Materiales médico - quirúrgicos;43.344.909,00;578.201.123,00;611.521.123,00;10.024.909,00;10.024.909,00;0
151065;Víveres y rancho;16.288.798,00;321.629.964,00;309.638.984,00;28.279.778,00;28.279.778,00;0
151090;Otras mercancías en existencia;1.536.661.893,00;9.946.674.480,00;2.416.392.785,00;9.066.943.588,00;9.066.943.588,00;0
151200;MATERIAS PRIMAS;1.259.541.747,00;0;228.489.550,00;1.031.052.197,00;1.031.052.197,00;0
151201;Materias primas;1.259.541.747,00;0;228.489.550,00;1.031.052.197,00;1.031.052.197,00;0
151400;MATERIALES Y SUMINISTROS;622.586.300,00;12.823.000,00;55.035.100,00;580.374.200,00;580.374.200,00;0
151409;Repuestos;622.586.300,00;12.823.000,00;55.035.100,00;580.374.200,00;580.374.200,00;0
152000;PRODUCTOS EN PROCESO;74.509.203.427,00;9.708.415.688,00;76.000.000,00;84.141.619.115,00;84.141.619.115,00;0
152002;Construcciones;74.509.203.427,00;9.708.415.688,00;76.000.000,00;84.141.619.115,00;84.141.619.115,00;0
158000;DETERIORO ACUMULADO DE INVENTARIOS (CR);-149.250.223,22;0;0;-149.250.223,22;-149.250.223,22;0
158002;Mercancías en existencia;-148.679.023,22;0;0;-148.679.023,22;-148.679.023,22;0
158013;Materiales y suministros;-571.200,00;0;0;-571.200,00;-571.200,00;0
160000;PROPIEDADES, PLANTA Y EQUIPO;5.982.627.855.444,90;283.922.237.413,54;228.930.223.504,71;6.037.619.869.353,73;0;6.037.619.869.353,73
160500;TERRENOS;2.109.377.777.574,58;24.694.419.929,00;24.758.279.512,00;2.109.313.917.991,58;0;2.109.313.917.991,58
160501;Urbanos;1.951.909.834.686,00;23.890.988.919,00;24.668.829.312,00;1.951.131.994.293,00;0;1.951.131.994.293,00
160502;Rurales;13.971.910.255,60;0;0;13.971.910.255,60;0;13.971.910.255,60
160503;Terrenos con destinación ambiental;120.273.400,00;0;89.450.200,00;30.823.200,00;0;30.823.200,00
160504;Terrenos pendientes de legalizar;60.566.624.122,00;803.431.010,00;0;61.370.055.132,00;0;61.370.055.132,00
160505;Terrenos de propiedad de terceros;2.889.568.060,00;0;0;2.889.568.060,00;0;2.889.568.060,00
160506;Terrenos con uso futuro indeterminado;79.919.567.050,98;0;0;79.919.567.050,98;0;79.919.567.050,98
161000;SEMOVIENTES Y PLANTAS;212.873.074,00;98.265.506,00;196.531.012,00;114.607.568,00;0;114.607.568,00
161001;De trabajo;211.273.074,00;98.265.506,00;196.531.012,00;113.007.568,00;0;113.007.568,00
161003;De experimentación;1.600.000,00;0;0;1.600.000,00;0;1.600.000,00
161500;CONSTRUCCIONES EN CURSO;422.586.026.260,89;67.968.765.936,00;53.025.365.839,00;437.529.426.357,89;0;437.529.426.357,89
161501;Edificaciones;417.867.009.442,89;67.968.765.936,00;52.086.617.438,00;433.749.157.940,89;0;433.749.157.940,89
161505;Redes, líneas y cables;33.118.230,00;0;33.118.230,00;0;0;0
161590;Otras construcciones en curso;4.685.898.588,00;0;905.630.171,00;3.780.268.417,00;0;3.780.268.417,00
162000;MAQUINARIA, PLANTA Y EQUIPO EN MONTAJE;5.598.141.312,00;0;0;5.598.141.312,00;0;5.598.141.312,00
162003;Maquinaria y equipo;1.881.466.800,00;0;0;1.881.466.800,00;0;1.881.466.800,00
162008;Equipos de transporte, tracción y elevación;3.716.674.512,00;0;0;3.716.674.512,00;0;3.716.674.512,00
162500;PROPIEDADES, PLANTA Y EQUIPO EN TRÁNSITO;4.024.825.738,00;1.493.657.552,00;4.024.825.738,00;1.493.657.552,00;0;1.493.657.552,00
162590;Otras maquinarias, planta y equipo en tránsito;4.024.825.738,00;1.493.657.552,00;4.024.825.738,00;1.493.657.552,00;0;1.493.657.552,00
163500;BIENES MUEBLES EN BODEGA;42.269.492.749,86;66.240.534.549,04;46.950.844.247,00;61.559.183.051,90;0;61.559.183.051,90
163501;Maquinaria y equipo;6.602.072.258,00;2.007.983.733,00;2.547.167.684,00;6.062.888.307,00;0;6.062.888.307,00
163502;Equipo médico y científico;204.065.990,00;71.779.800,00;13.227.800,00;262.617.990,00;0;262.617.990,00
163503;Muebles, enseres y equipo de oficina;4.675.845.118,00;4.770.024.773,00;3.426.233.907,00;6.019.635.984,00;0;6.019.635.984,00
163504;Equipos de comunicación y computación;21.158.365.912,86;52.720.035.306,04;33.810.976.980,00;40.067.424.238,90;0;40.067.424.238,90
163505;Equipos de transporte, tracción y elevación;521.448.459,00;3.008.693.796,00;3.200.958.695,00;329.183.560,00;0;329.183.560,00
163507;Redes, líneas y cables;99.908.823,00;0;0;99.908.823,00;0;99.908.823,00
163511;Equipos de comedor, cocina, despensa y hotelería;378.625.854,00;104.338.936,00;71.205.953,00;411.758.837,00;0;411.758.837,00
163512;Componentes de propiedades, planta y equipo;8.625.289.335,00;3.498.472.739,00;3.818.867.762,00;8.304.894.312,00;0;8.304.894.312,00
163590;Otros bienes muebles en bodega;3.871.000,00;59.205.466,00;62.205.466,00;871.000,00;0;871.000,00
163600;PROPIEDADES, PLANTA Y EQUIPO EN MANTENIMIENTO;7.291.779.777,00;0;0;7.291.779.777,00;0;7.291.779.777,00
163601;Edificaciones;7.291.779.777,00;0;0;7.291.779.777,00;0;7.291.779.777,00
163700;PROPIEDADES, PLANTA Y EQUIPO NO EXPLOTADOS;11.217.337.280,29;7.737.037.537,51;6.635.842.035,97;12.318.532.781,83;0;12.318.532.781,83
163701;Terrenos;2.199.008.530,00;271.939.391,00;0;2.470.947.921,00;0;2.470.947.921,00
163703;Edificaciones;125.392.600,00;0;0;125.392.600,00;0;125.392.600,00
163707;Maquinaria y equipo;696.338.005,50;1.190.718.794,00;1.083.692.601,00;803.364.198,50;0;803.364.198,50
163708;Equipo médico y científico;737.285.242,00;161.949.000,00;0;899.234.242,00;0;899.234.242,00
163709;Muebles, enseres y equipo de oficina;904.225.373,80;548.036.091,60;407.431.486,00;1.044.829.979,40;0;1.044.829.979,40
163710;Equipos de comunicación y computación;4.623.358.871,99;3.943.649.775,91;3.365.481.834,97;5.201.526.812,93;0;5.201.526.812,93
163711;Equipos de transporte, tracción y elevación;1.890.277.227,00;1.614.613.461,00;1.779.236.114,00;1.725.654.574,00;0;1.725.654.574,00
163712;Equipos de comedor, cocina, despensa y hotelería;41.451.430,00;6.131.024,00;0;47.582.454,00;0;47.582.454,00
164000;EDIFICACIONES;2.746.064.382.572,63;80.263.559.335,00;35.223.406.904,00;2.791.104.535.003,63;0;2.791.104.535.003,63
164001;Edificios y casas;517.813.240.546,97;45.935.580.184,00;104.762.395,00;563.644.058.335,97;0;563.644.058.335,97
164002;Oficinas;47.722.461.763,54;0;0;47.722.461.763,54;0;47.722.461.763,54
164004;Locales;21.764.931.293,50;0;0;21.764.931.293,50;0;21.764.931.293,50
164007;Salas de exhibición, conferencias y ventas;541.924.020,00;0;0;541.924.020,00;0;541.924.020,00
164009;Colegios y escuelas;1.421.075.765.697,60;30.047.800.609,00;0;1.451.123.566.306,60;0;1.451.123.566.306,60
164010;Clínicas y hospitales;815.039.557,00;0;0;815.039.557,00;0;815.039.557,00
164017;Parqueaderos y garajes;4.217.385.677,91;0;0;4.217.385.677,91;0;4.217.385.677,91
164018;Bodegas;17.843.018.613,01;0;0;17.843.018.613,01;0;17.843.018.613,01
164019;Instalaciones deportivas y recreacionales;1.399.667.271,78;0;0;1.399.667.271,78;0;1.399.667.271,78
164024;Tanques de almacenamiento;65.410.083.500,00;0;0;65.410.083.500,00;0;65.410.083.500,00
164027;Edificaciones pendientes de legalizar;573.829.816.792,32;4.280.178.542,00;35.118.644.509,00;542.991.350.825,32;0;542.991.350.825,32
164028;Edificaciones de Propiedad de Terceros;31.084.006.359,00;0;0;31.084.006.359,00;0;31.084.006.359,00
164032;Edificaciones con uso futuro indeterminado;1.930.208.480,00;0;0;1.930.208.480,00;0;1.930.208.480,00
164090;Otras edificaciones;40.616.833.000,00;0;0;40.616.833.000,00;0;40.616.833.000,00
164500;PLANTAS, DUCTOS Y TÚNELES;20.348.864.700,00;0;0;20.348.864.700,00;0;20.348.864.700,00
164502;Plantas de tratamiento;20.348.864.700,00;0;0;20.348.864.700,00;0;20.348.864.700,00
165000;REDES, LÍNEAS Y CABLES;17.159.955.752,00;0;0;17.159.955.752,00;0;17.159.955.752,00
165007;Líneas y cables de interconexión;14.688.833.062,00;0;0;14.688.833.062,00;0;14.688.833.062,00
165011;Redes, líneas y cables pendientes de legalizar;128.308.492,00;0;0;128.308.492,00;0;128.308.492,00
165012;Redes, Líneas y Cables de Propiedad de Terceros;976.132.814,00;0;0;976.132.814,00;0;976.132.814,00
165090;Otras redes, líneas y cables;1.366.681.384,00;0;0;1.366.681.384,00;0;1.366.681.384,00
165500;MAQUINARIA Y EQUIPO;108.939.173.320,51;3.416.080.001,00;1.273.221.414,00;111.082.031.907,51;0;111.082.031.907,51
165501;Equipo de construcción;7.931.307.713,00;997.697.678,00;885.215.800,00;8.043.789.591,00;0;8.043.789.591,00
165502;Armamento y equipo reservado;249.421.262,00;0;2.900.000,00;246.521.262,00;0;246.521.262,00
165504;Maquinaria industrial;16.783.560.165,45;52.682.057,00;45.160.655,00;16.791.081.567,45;0;16.791.081.567,45
165505;Equipo de música;13.810.952.324,00;62.248.838,00;638.750,00;13.872.562.412,00;0;13.872.562.412,00
165506;Equipo de recreación y deporte;5.174.296.261,00;52.015.843,00;7.627.508,00;5.218.684.596,00;0;5.218.684.596,00
165508;Equipo agropecuario, de silvicultura, avicultura y pesca;178.177.132,00;0;0;178.177.132,00;0;178.177.132,00
165509;Equipo de enseñanza;24.607.874.076,00;91.785.933,00;0;24.699.660.009,00;0;24.699.660.009,00
165511;Herramientas y accesorios;19.586.265.904,87;198.379.298,00;34.039.152,00;19.750.606.050,87;0;19.750.606.050,87
165520;Equipo de centros de control;7.715.377.789,78;0;0;7.715.377.789,78;0;7.715.377.789,78
165522;Equipo de ayuda audiovisual;8.983.431.641,92;138.799.832,00;169.344.111,00;8.952.887.362,92;0;8.952.887.362,92
165523;Equipo de aseo;43.093.268,00;3.771.000,00;3.771.000,00;43.093.268,00;0;43.093.268,00
165525;Maquinaria y Equipo de Propiedad de Terceros;866.323,00;0;0;866.323,00;0;866.323,00
165590;Otra maquinaria y equipo;3.874.549.459,49;1.818.699.522,00;124.524.438,00;5.568.724.543,49;0;5.568.724.543,49
166000;EQUIPO MÉDICO Y CIENTÍFICO;33.656.142.312,01;419.354.684,00;572.196.696,00;33.503.300.300,01;0;33.503.300.300,01
166001;Equipo de investigación;189.613.676,00;0;55.705.000,00;133.908.676,00;0;133.908.676,00
166002;Equipo de laboratorio;29.943.974.383,00;22.314.684,00;119.311.827,00;29.846.977.240,00;0;29.846.977.240,00
166003;Equipo de urgencias;2.788.202.081,01;395.358.000,00;395.358.000,00;2.788.202.081,01;0;2.788.202.081,01
166007;Equipo de apoyo diagnóstico;4.872.000,00;0;0;4.872.000,00;0;4.872.000,00
166008;Equipo de apoyo terapéutico;6.421.028,00;0;0;6.421.028,00;0;6.421.028,00
166009;Equipo de servicio ambulatorio;297.652.781,00;1.682.000,00;1.821.869,00;297.512.912,00;0;297.512.912,00
166090;Otro equipo médico y científico;425.406.363,00;0;0;425.406.363,00;0;425.406.363,00
166500;MUEBLES, ENSERES Y EQUIPO DE OFICINA;182.300.582.458,80;3.732.380.708,23;1.102.633.436,83;184.930.329.730,20;0;184.930.329.730,20
166501;Muebles y enseres;160.868.020.470,22;3.375.133.604,23;770.783.721,60;163.472.370.352,85;0;163.472.370.352,85
166502;Equipo y máquina de oficina;21.109.650.592,84;356.551.104,00;318.017.629,00;21.148.184.067,84;0;21.148.184.067,84
166505;Muebles, Enseres y Equipo de Oficina de Propiedad de Terceros;76.191.431,00;0;0;76.191.431,00;0;76.191.431,00
166590;Otros muebles, enseres y equipo de oficina;246.719.964,74;696.000,00;13.832.086,23;233.583.878,51;0;233.583.878,51
167000;EQUIPOS DE COMUNICACIÓN Y COMPUTACIÓN;565.719.015.833,98;14.289.058.826,97;6.873.068.231,15;573.135.006.429,80;0;573.135.006.429,80
167001;Equipo de comunicación;163.990.673.374,12;3.011.056.621,64;752.431.167,80;166.249.298.827,96;0;166.249.298.827,96
167002;Equipo de computación;391.706.746.097,14;11.166.116.148,33;6.100.657.545,35;396.772.204.700,12;0;396.772.204.700,12
167004;Satélites y antenas;8.407.455.552,00;0;862.518,00;8.406.593.034,00;0;8.406.593.034,00
167005;Equipos de radares;20.778.865,00;0;0;20.778.865,00;0;20.778.865,00
167007;Equipos de Comunicación y Computación de Propiedad de Terceros;1.568.161.065,00;103.036.000,00;19.117.000,00;1.652.080.065,00;0;1.652.080.065,00
167090;Otros equipos de comunicación y computación;25.200.880,72;8.850.057,00;0;34.050.937,72;0;34.050.937,72
